"brand","model","cores","base_clock","boost_clock","tdp","integrated_graphics","multithreading","price"
"AMD","FX-6200",6,"{\"cycles\":3800000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-6300",6,"{\"cycles\":3500000000}",null,95,null,false,"[\"USD\",\"125.50\"]"
"AMD","FX-6300",6,"{\"cycles\":3500000000}",null,95,null,false,"[\"USD\",\"237.87\"]"
"AMD","FX-6350",6,"{\"cycles\":3900000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8100",8,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8120",8,"{\"cycles\":3100000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8140",8,"{\"cycles\":3200000000}","{\"cycles\":4099999999}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8150",8,"{\"cycles\":3600000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8300",8,"{\"cycles\":3300000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8300",8,"{\"cycles\":3300000000}",null,95,null,false,"[\"USD\",\"168.02\"]"
"AMD","FX-8310",8,"{\"cycles\":3400000000}","{\"cycles\":4300000000}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8320",8,"{\"cycles\":3500000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8320",8,"{\"cycles\":3500000000}",null,125,null,false,"[\"USD\",\"179.58\"]"
"AMD","FX-8320E",8,"{\"cycles\":3200000000}","{\"cycles\":4000000000}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8350",8,"{\"cycles\":4000000000}",null,125,null,false,"[\"USD\",\"228.53\"]"
"AMD","FX-8350",8,"{\"cycles\":4000000000}",null,125,null,false,"[\"USD\",\"504.49\"]"
"AMD","FX-8350",8,"{\"cycles\":4000000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8370",8,"{\"cycles\":4000000000}","{\"cycles\":4300000000}",125,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-8370E",8,"{\"cycles\":3300000000}","{\"cycles\":4300000000}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-9370",8,"{\"cycles\":4400000000}","{\"cycles\":4700000000}",220,null,false,"[\"USD\",\"0.00\"]"
"AMD","FX-9370",8,"{\"cycles\":4400000000}","{\"cycles\":4700000000}",220,null,false,"[\"USD\",\"753.00\"]"
"AMD","FX-9590",8,"{\"cycles\":4700000000}","{\"cycles\":5000000000}",220,null,false,"[\"USD\",\"495.01\"]"
"AMD","FX-9590",8,"{\"cycles\":4700000000}","{\"cycles\":5000000000}",220,null,false,"[\"USD\",\"0.00\"]"
"AMD","Opteron 4386",8,"{\"cycles\":3100000000}","{\"cycles\":3800000000}",95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Opteron 6320",8,"{\"cycles\":2800000000}","{\"cycles\":3300000000}",115,null,false,"[\"USD\",\"269.00\"]"
"AMD","Opteron 6320",8,"{\"cycles\":2800000000}","{\"cycles\":3300000000}",115,null,false,"[\"USD\",\"249.01\"]"
"AMD","Opteron 6328",8,"{\"cycles\":3200000000}","{\"cycles\":3800000000}",115,null,false,"[\"USD\",\"1818.00\"]"
"AMD","Opteron 6328",8,"{\"cycles\":3200000000}","{\"cycles\":3800000000}",115,null,false,"[\"USD\",\"0.00\"]"
"AMD","Opteron 6344",12,"{\"cycles\":2600000000}","{\"cycles\":3200000000}",115,null,false,"[\"USD\",\"379.00\"]"
"AMD","Opteron 6344",12,"{\"cycles\":2600000000}","{\"cycles\":3200000000}",115,null,false,"[\"USD\",\"0.00\"]"
"AMD","Opteron 6378",16,"{\"cycles\":2400000000}","{\"cycles\":3300000000}",115,null,false,"[\"USD\",\"0.00\"]"
"AMD","Opteron 6378",16,"{\"cycles\":2400000000}","{\"cycles\":3300000000}",115,null,false,"[\"USD\",\"921.95\"]"
"AMD","Phenom II X2 545",2,"{\"cycles\":3000000000}",null,80,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X2 550",2,"{\"cycles\":3100000000}",null,80,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X2 550 Black",2,"{\"cycles\":3100000000}",null,80,null,false,"[\"USD\",\"200.77\"]"
"AMD","Phenom II X2 555 Black",2,"{\"cycles\":3200000000}",null,80,null,false,"[\"USD\",\"294.82\"]"
"AMD","Phenom II X2 560 Black",2,"{\"cycles\":3300000000}",null,80,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X2 565 Black",2,"{\"cycles\":3400000000}",null,80,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X2 B59",2,"{\"cycles\":3400000000}",null,80,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X3 705e",3,"{\"cycles\":2500000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X3 710",3,"{\"cycles\":2600000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X3 715 Black",3,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X3 720",3,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X3 720 Black",3,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X3 740 Black",3,"{\"cycles\":3000000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 805",4,"{\"cycles\":2500000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 810",4,"{\"cycles\":2600000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
